STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,
2627,HIMACHAL PRADESH,14,33,6.9,8.4,7.2,7.7,238,448,BDL,2.4,BDL,1.28,11,70,38,170,2,2,
2913,PUNJAB,15,38,3.7,5.7,7.2,7.9,254,402,2,3.4,0.6,1.6,210,2100,1100,8400,-,-,
1491,UTTARAKHAND,-,-,9.8,9.8,7.1,7.1,109,109,1.5,1.5,0.32,0.32,2,2,2,2,2,2,
1484,UTTARAKHAND,12,19,9.2,10.8,7.3,8,173,303,1,1,BDL,BDL,2,2,2,2,2,2,
1486,UTTARAKHAND,13,20,10,10.8,7.4,8,116,284,1,1,BDL,0.35,2,2,2,2,2,2,
1488,UTTARAKHAND,14,20,8.8,11,7.2,8.1,78,197,BDL,1,BDL,BDL,2,2,2,2,2,2,
1487,UTTARAKHAND,15,20,9,12.8,7.3,8.1,87,223,BDL,1,BDL,BDL,2,2,2,2,2,2,
1489,UTTARAKHAND,14,21,9.8,11.8,7.3,8,83,263,BDL,1,BDL,0.39,2,2,2,2,2,2,
1060,UTTARAKHAND,16,26,8.8,11.6,7.1,8.4,79,194,BDL,1,BDL,2.9,2,26,2,50,2,2,
1485,UTTARAKHAND,12,20,9.4,10.6,7.4,7.8,111,207,1,1,BDL,BDL,2,2,2,2,2,2,
10147,UTTARAKHAND,17,25,8.8,10.6,7,8.3,91,211,BDL,4,BDL,0.75,2,30,2,50,2,2,
2725,UTTARAKHAND,17,29,8.2,10.8,7.1,8.4,164,726,1,2,BDL,2.59,2,84,2,140,2,2,
3997,UTTARAKHAND,19,27,8.2,10.4,7.4,8.1,114,275,1,1.2,BDL,0.43,30,60,60,110,2,2,
10148,UTTARAKHAND,17,27,8,10.8,7.3,8,96,396,BDL,1.2,BDL,0.36,2,60,2,90,2,2,
1061,UTTARAKHAND,16,29,8,10.6,7.1,8,103,441,1,2.2,BDL,0.53,2,110,2,170,2,2,
30005,INTER-STATE,-,-,8.4,9.1,6.8,7.7,150,281,1,4.2,0.31,1.61,68,4900,450,54000,4,170,
30006,INTER-STATE,-,-,8.6,9,7.3,7.7,179,211,1,1.6,BDL,1.31,78,1300,1300,5400,78,700,
10150,UTTAR PRADESH,-,-,8,9.9,7.4,8.1,110,239,BDL,1.5,-,-,700,1300,1200,2800,2,14,
1062,UTTAR PRADESH,15.4,22,7.1,10.8,7,8.5,150,275,BDL,9.8,BDL,0.5,140,7000,280,9400,120,540,
10149,UTTAR PRADESH,15,22,7.5,11.2,7,8.3,150,250,BDL,2.1,BDL,9.4,120,920,220,1600,94,280,
2488,UTTAR PRADESH,14,28,7.5,9.2,6.7,7.3,164,2200,1,2.7,BDL,0.35,150,930,180,2100,2,2,
2489,UTTAR PRADESH,14,28,7.6,9.3,6.9,7.4,196,224,1,2.6,BDL,4.1,220,1400,540,4800,2,68,
1145,UTTAR PRADESH,15,29,7.8,9.4,6.9,7.3,168,212,BDL,2.6,BDL,0.42,430,1700,750,3300,2,20,
2490,UTTAR PRADESH,17.5,22.5,8.8,10.7,7.1,7.7,48,1960,BDL,1.6,BDL,4.72,140,320,170,480,2,2,
10151,UTTAR PRADESH,16,30,7.2,11.5,7.2,8.4,160,324,1.2,2.6,-,-,920,2100,1700,4000,2,2,
1063,UTTAR PRADESH,16,30,6.7,11,7.6,8.5,177,396,2,2.8,-,-,1100,11000,1300,4900,2,2,
1066,UTTAR PRADESH,16,30,6.3,10.6,7.5,8.4,182,488,2.2,3.1,-,-,1700,4600,4200,9400,2,2,
1146,UTTAR PRADESH,16,31,6.2,12,7.6,8.6,186,370,2.4,3.2,-,-,1100,4900,3300,9400,40,68,
1067,UTTAR PRADESH,20,31,6.2,12.1,7.5,8.52,212,356,2.9,6.3,-,-,1400,9200,3900,17000,20,45,
10154,UTTAR PRADESH,20,31,6,11.8,7.6,8.59,212,351,2.5,3.4,-,-,1300,13000,2300,23000,45,78,
10155,UTTAR PRADESH,20,31,6,11.7,7.4,8.5,180,372,3.1,3.8,-,-,2200,21000,5800,40000,2,20,
1068,UTTAR PRADESH,20,31,5.6,10.9,7.3,8.4,210,448,4,4.4,-,-,9400,27000,21000,54000,2,2,
10157,UTTAR PRADESH,20,31,5.8,11.3,7.4,8.5,225,410,3.9,4.5,-,-,7900,21000,17000,39000,20,20,
1147,UTTAR PRADESH,19,26,7.6,10.5,7.7,8.2,231,341,3.4,4.2,BDL,0.84,1100,3100,1600,4000,20,20,
