STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
3082,TELANGANA,23,30,3.9,6.2,6.5,7.8,150,2461,2,7,1.5,7.2,8,482,45,260
1178,ANDHRA PRADESH,21,27,5.2,7.8,7.3,8.5,421,1357,0.5,1.8,0.2,2.4,2,400,2,1200
1177,ANDHRA PRADESH,24,26,4.2,7.8,7.3,8.7,461,1022,0.5,2.2,0,2.1,2,400,2,1200
1895,KARNATAKA,28,33,6.4,7.2,8.1,8.5,486,710,1.5,4,0,0.5,280,1600,500,1600
2777,KARNATAKA,27,32,6.7,7.2,8.1,8.5,489,690,1.5,17,0,0.5,220,900,500,1600
2349,TELANGANA,23,31,4.1,6.1,7,7.7,1513,2240,4,22,2.4,8,4,20,65,126
2350,ANDHRA PRADESH,27,36,2,6.7,7.7,8.6,470,2407,0.8,2.6,0.9,10.2,20,24,14,560
2763,KARNATAKA,27,36,6.1,8.3,7.5,8.1,330,1810,0.9,4.3,0,1.2,500,500,900,900
2351,ANDHRA PRADESH,26,31,4,7.3,7.8,8.7,726,1100,1.3,3.4,1.1,3.9,19,32,460,660
2195,MAHARASHTRA,24.5,31,2.8,7.4,7.4,9,139,1426,3.9,9.6,0.9,2.8,195,275,1600,1800
2682,MAHARASHTRA,23.5,30,4.9,7.2,7.8,9,95,760,3.6,7.2,0.9,1.7,250,250,1800,1800
1463,MAHARASHTRA,23,29.5,5,7.3,7.8,9,94,600,3.8,7.9,0.4,2.2,170,470,1600,1600
2681,MAHARASHTRA,20.5,28.5,0,6.9,7.9,9,1521,2686,4.5,13.2,0.6,3.9,70,250,550,1600
2683,MAHARASHTRA,21.5,27,5.1,7.4,7.4,8.5,112,419,3.8,7.7,0,1.9,140,250,900,1600
2186,MAHARASHTRA,21,28,6.5,7.4,7.5,8.7,275,476,3.1,6.8,0.9,2.8,14,275,425,550
2716,MAHARASHTRA,17.5,26.5,5.9,7.6,7.2,8,43,340,1.6,7.2,0.2,2.4,35,250,140,1600
2717,MAHARASHTRA,19.5,25,5.6,7.4,7.4,8.2,363,647,3.2,8.4,1.1,4.3,170,550,900,1800
2189,MAHARASHTRA,22,29,4.8,7.8,7,8.7,92,375,3.2,7.5,0.3,2.2,140,250,350,1800
2194,MAHARASHTRA,24,30,2.8,7.3,6.7,8.3,13,834,3.3,16.1,1,3.2,275,350,1800,1800
2193,MAHARASHTRA,24,30,3.4,7.2,6.7,8.6,86,901,3.1,17.9,0.7,5.2,275,275,1800,1800
2192,MAHARASHTRA,24,30,1.3,7.2,6.7,8.4,424,783,4.4,18.5,0.7,2.7,275,275,1800,1800
2677,MAHARASHTRA,24,30,3.4,7.1,6.6,8.4,327,682,4.5,11.5,0.9,6.3,195,250,350,1600
2191,MAHARASHTRA,23,30,0,7.2,6.5,8.3,413,673,4.7,26.5,0.6,3,225,350,1800,1800
2678,MAHARASHTRA,23,30,0,7.3,6.6,8.8,388,737,3.4,26.5,0.5,5.3,250,350,1800,1800
2679,MAHARASHTRA,23,30,0,7.4,6.8,8.3,351,682,3.2,28.5,0.6,2.5,350,350,1800,1800
2680,MAHARASHTRA,20,30,6.6,7.8,7.1,8.2,80,158,3.1,5.2,0.3,2.2,14,35,150,850
2196,MAHARASHTRA,20,32,1.7,7.1,6.9,8.7,127,783,5.2,15.5,0.9,5.3,250,275,1800,1800
2690,MAHARASHTRA,23,32,0,6.9,6.9,8.4,339,794,6.9,19.5,0.8,4.4,275,350,1800,1800
2691,MAHARASHTRA,20,32,0,7.2,6.8,8.6,190,762,5.1,12.5,0.6,4.8,275,350,1800,1800
2692,MAHARASHTRA,20,32,1.8,7.7,7.1,8.3,134,782,3.1,14.8,0.4,2.3,10,17,350,425
2693,MAHARASHTRA,20,32,0,7.1,7,8.5,226,782,3.9,17.5,0.8,4.7,275,275,1800,1800
2694,MAHARASHTRA,20,32,0,7.1,6.9,8.8,181,718,5.6,11.5,0.9,6.5,275,275,1800,1800
2197,MAHARASHTRA,21,30,2.8,7.2,7.4,8.3,289,718,4.2,11.8,0.7,3.8,11,350,225,1800
2668,MAHARASHTRA,21,30,3.3,7.4,7.2,8.4,306,836,3.8,11.4,0.8,3.7,12,350,1800,1800
2669,MAHARASHTRA,21,30,4.4,7.6,7.2,8.3,302,758,3.2,8.4,0.9,3.6,17,250,930,1800
