STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,Latitude,Longitude
1910,MAHARASHTRA,18.2,38,5.7,8,7.7,8.6,209,772,3,4.2,0.6,5.0,26,110,140,920,6.1,7.8,19.731126,79.776401
2173,MAHARASHTRA,16,35,5.9,8.2,7.2,8.8,94,914,3.2,4.0,0.3,6.1,21,39,52,350,4.5,11,21.380729,79.745477
2175,MAHARASHTRA,16,46,5.7,8.4,7.2,9,139,2026,3.6,5.6,0.3,3.4,2,47,58,540,4.5,8.3,20.609867,79.857681
2176,MAHARASHTRA,18,45,5.9,8.2,7.3,8.9,177,1978,3.2,5.8,0.3,7.9,1.8,39,110,280,7.8,9.1,20.610126,79.858051
11,MAHARASHTRA,17,45,4.34,8.4,7.38,8.93,162,712,3.0,14.0,0.3,11.75,26,34,90,280,6.8,11,19.715385,79.685289
3312,MADHYA PRADESH,-,-,7.2,7.4,7.3,7.7,688,693,1.8,2.8,0.3,2.5,3,3,14,23,-,-,22.061124,78.952935
2170,MAHARASHTRA,18,39,5.4,8.6,7.2,8.7,202,1252,3.3,5.8,0.6,8.8,2,170,6.8,900,4,12,21.206788,79.246193
2171,MAHARASHTRA,18,34,4.3,8.2,7.4,8.9,218,1288,3.2,21,0.1,3.3,22,40,110,540,6.1,7.8,21.209724,79.236711
1909,MAHARASHTRA,18.5,30,1.8,8.5,7.8,9,272,788,3.2,22,0.3,4.8,4.5,110,7.8,920,8.3,14,21.087098,79.474422
2372,TELANGANA,22,35,4.8,5.8,7.4,8.1,453,574,3,6,0.3,1.9,1.8,4,22,22,-,-,17.224489,80.127061
2373,TELANGANA,25,34,5.6,7.5,7.3,8.2,84,138,2,12,0.3,2.2,1.8,1.8,10,10,-,-,17.616333,81.286295
2657,MAHARASHTRA,20,31,5.3,7.5,7.4,8.6,379,53580,2.4,4.8,0.2,4.5,2,46,85,350,1.8,1.8,18.916511,75.743889
2697,MAHARASHTRA,19,45,6.3,8.2,8.1,8.8,244,732,3.2,4.0,0.3,4.6,11,39,22,280,4,11,19.597589,77.691614
2698,MAHARASHTRA,19,46,5.2,7.6,7.2,8.9,92,848,3.2,7.2,0.3,5.2,1.8,170,90,920,4,9.1,19.724881,77.446567
2699,MAHARASHTRA,18,33,5.2,7.8,7.6,8.6,285,810,3.4,5.2,0.2,8.7,24,140,280,350,5.6,8.1,20.150364,76.560336
2722,MAHARASHTRA,14,27,5,8.4,7.4,8.8,172,936,3,4.7,0.2,2.9,17,39,63,280,2,9.8,20.555303,78.816456
2723,MAHARASHTRA,14,27,5.2,7.4,7.8,8.8,190,992,4.2,7.6,0.2,3.7,22,47,110,350,4.5,10,20.544289,78.811978
1908,MAHARASHTRA,18,31,5.5,8.2,7.8,8.9,348,1332,3.1,4.6,0.7,8.9,13,140,46,350,7.8,9.2,21.246917,79.153882
2660,MAHARASHTRA,15,30,5,6.7,7.2,8.1,189,898,3,4.8,0.3,6.5,1.8,4,59,280,1.8,1.8,19.932352,73.856413
2661,MAHARASHTRA,20,29,5.9,6.6,7.3,8,156,493,2.8,4.2,0.3,3.4,1.8,2,72,220,1.8,1.8,19.761988,73.737187
2662,MAHARASHTRA,21,31,5,7,7.3,7.9,137,599,3,4.8,0.3,5.5,1.8,5.6,110,240,1.8,1.8,19.870494,73.829919
2663,MAHARASHTRA,21,32,4.8,6.5,7.2,8,139,695,3.2,4.6,0.3,3.9,1.8,170,110,220,1.8,1.8,19.872772,73.834011
2664,MAHARASHTRA,21,32,5.2,6.3,7.2,8.1,169,838,3,16.5,0.3,4,1.8,425,107,240,1.8,1.8,19.900366,73.838095
3080,TELANGANA,22,33,4.6,6,7.2,8,348,602,3,3,0.3,1.5,1.8,1.8,14,14,-,-,17.647541,80.707462
3081,TELANGANA,24,35,4.2,5.8,7.2,8.1,495,683,3,4,0.5,2.8,1.8,17,30,240,-,-,16.065597,78.829544
1194,MAHARASHTRA,22,31.5,2.9,6.9,7.1,8.2,82,1174,1.8,11,0.3,3.3,7,195,45,1600,4,4,17.981764,73.795456
2190,MAHARASHTRA,22,30,3.6,6.5,7.3,8.5,88,715,2.8,7.2,,,45,275,550,1800,2,2,17.949284,73.891316
2187,MAHARASHTRA,20,26,3.7,6.4,7.3,8.7,161,625,3.0,8.0,0.2,5.8,95,350,900,1800,2,5,17.688548,74.063324
2188,MAHARASHTRA,19.5,25,3.8,6.6,7.2,8.6,182,641,2.6,6.5,-,-,50,550,550,1800,4,4,17.688252,74.063303
36,MAHARASHTRA,22,30,3.6,6.7,7.3,8.5,77,638,2.8,7.0,0.3,4.8,17,350,350,1800,1.8,5,17.295256,74.188776
1906,MAHARASHTRA,21,28,5.7,7,7.3,8.1,64,854,1.8,2.8,2,3.4,4,14,34,150,1.8,1.8,17.029275,74.380064
1153,MAHARASHTRA,20,28,5.7,7.1,7.1,8.2,158,952,2.0,2.6,0.1,2.8,6.1,17,39,140,2,2,16.657053,73.521386
