STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
44,MADHYA PRADESH,18,29,6.1,8.7,7.8,8.6,216,314,0.8,3.2,0.34,7.89,2,6,30,1600,22.762685,77.71649
1240,MADHYA PRADESH,18,22,7.4,7.8,7.3,8.3,316,527,1.3,21.5,0.14,1.24,3,70,11,460,22.948622,79.190171
1234,MADHYA PRADESH,18,30,6,10,7.6,8.8,219,312,0.7,3,0.26,8.92,2,8,21,1600,22.756614,77.690036
2123,MADHYA PRADESH,21,29,5.6,11.7,7.4,8.7,219,309,0.8,2.3,0.34,7.88,2,8,40,1600,22.761672,77.7185
2106,MADHYA PRADESH,20,24,6.5,7.8,7.2,8.2,267,386,1.9,2,1.21,10.05,�,�,�,�,22.496589,76.980555
2099,MADHYA PRADESH,19,24,7,7.8,7.1,8.3,164,682,1,2.8,0.27,5.63,3,75,10,240,23.124913,79.774671
3322,MADHYA PRADESH,19,24,6.7,7.8,7.4,8.7,333,523,1.2,3.2,0.5,6.39,3,15,23,460,22.598282,80.370419
3323,MADHYA PRADESH,19,25,6.6,7.7,7.2,7.6,328,572,1.4,2.4,1.34,3.39,3,3,14,240,23.124518,79.775616
3324,MADHYA PRADESH,19,26,6.9,7.8,7.2,8.4,312,575,1.1,2.8,1.24,4.52,3,23,15,460,23.133109,79.800745
3325,MADHYA PRADESH,18,26,6.7,7.8,7.3,8.4,295,606,1.8,7.6,1.3,3.29,3,23,15,460,23.133838,79.800558
1243,GUJARAT,24,24,8.1,8.1,8.1,8.1,247,848,2.6,2.6,0.532,5.63,20,2200,70,9200,21.665906,72.916681
1244,GUJARAT,24,28,3.9,8.5,7.8,8.6,179,19452,0.6,2.9,8.92,10.03,2,7,8,24,21.950608,73.584697
1245,GUJARAT,26,31,3.4,8.5,7.3,8.8,221,811,0.4,6.1,0.309,9.36,3,230,4,40,21.983722,73.456331
1981,GUJARAT,30,30,8.9,8.9,8.5,8.5,2000,2000,0.6,0.6,0.41,2.33,210,210,11,11,21.714997,73.042891
2073,GUJARAT,26,32,5.9,9.5,7.7,8.6,240,2450,0.7,6.1,0,0,4,4,4,4300,23.134936,72.611525
2100,MADHYA PRADESH,19,24,6.9,7.8,7.3,8,350,680,1,3.6,0.42,3.26,1,23,4,460,23.117239,79.99781
2101,MADHYA PRADESH,18,29,6.9,7.8,7.1,8.9,210,612,1,12.8,0.36,2.69,4,5,11,150,23.899675,80.512005
3305,MADHYA PRADESH,20,24,6.9,7.8,7.1,7.7,343,450,1.5,2.8,0.2,2.5,3,4,17,93,22.049425,80.716076
1313,MAHARASHTRA,30,34,4.8,6.7,7.7,8.4,168,866,2.4,7,0.31,2.78,33,60,110,140,21.24294,76.034146
1251,MAHARASHTRA,28,32,5.4,6.7,7.3,8.4,182,860,2.2,6,0.473,5.69,34,50,110,140,21.047772,75.786357
1314,MAHARASHTRA,19,25,4.4,7.2,7.7,8.2,298,904,2.4,6,0.32,2.88,27,170,110,340,21.546291,74.466807
1247,GUJARAT,24,28,7,7.6,7.3,8.5,23,2850,0.3,0.8,2.711,3.33,1500,9300,17,260,21.247908,73.301033
1248,GUJARAT,24,29,5.2,7.8,8.3,8.7,231,2300,0.3,21,0.62,4.89,23,2100,93,430,21.2855,72.935483
1982,GUJARAT,24,29,6.8,7.8,8.4,8.5,364,3542,0.5,2.2,0.36,1.03,540,7900,9,930,21.194545,72.811552
1983,GUJARAT,29,34,7.8,8.1,8,8.5,1602,5670,1.9,4.7,0.41,2.33,30,70,230,240,21.221618,73.170007
