STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
2249.0,ASSAM,26.0,27.0,0.0,0.0,6.7,7.2,137.0,268.0,1.0,2.0,0.30,0.70,2.0,2.0,2.0,2.0,26.65285,92.792558
2250.0,ASSAM,24.0,29.0,0.0,0.0,7.1,7.3,164.0,364.0,1.3,1.9,1.00,1.30,2.0,2.0,2.0,2.0,26.350383,92.679592
2251.0,ASSAM,27.0,29.0,0.0,0.0,6.3,6.3,40.0,919.0,1.3,4.0,0.70,1.60,2.0,2.0,2.0,2.0,26.1277,92.215749
2252.0,ASSAM,25.0,26.0,0.0,0.0,6.9,7.2,162.0,170.0,2.0,3.8,0.60,0.90,2.0,2.0,2.0,2.0,26.105147,91.712525
2253.0,ASSAM,26.0,29.0,0.0,0.0,6.8,7.8,171.0,301.0,1.2,4.2,0.60,1.10,2.0,2.0,2.0,2.0,26.444617,91.441053
2254.0,ASSAM,28.0,28.0,0.0,0.0,7.0,7.6,264.0,364.0,1.3,1.4,0.80,0.90,2.0,2.0,2.0,2.0,26.5,90.97
2255.0,ASSAM,23.0,28.0,0.0,0.0,7.2,7.3,96.0,99.0,1.1,3.0,0.80,0.90,2.0,2.0,2.0,2.0,26.515756,90.532872
2256.0,ASSAM,26.0,29.0,0.0,0.0,6.5,7.1,168.0,268.0,1.1,1.2,1.00,1.10,2.0,2.0,2.0,2.0,26.403904,90.262979
2257.0,ASSAM,28.0,30.0,0.0,0.0,7.0,7.0,180.0,280.0,1.3,1.7,1.00,1.00,2.0,2.0,2.0,2.0,26.026696,89.970706
2258.0,ASSAM,25.0,29.0,0.0,0.0,7.0,7.7,201.0,299.0,1.3,2.0,1.00,1.20,2.0,2.0,2.0,2.0,26.170647,90.626604
2259.0,ASSAM,20.0,27.0,0.0,6.5,7.2,8.1,56.0,739.0,1.2,4.0,1.10,2.00,2.0,730.0,2.0,2000.0,25.84274,93.425589
2260.0,ASSAM,23.0,24.0,0.0,0.0,5.8,6.2,90.0,152.0,1.0,1.6,0.80,1.60,2.0,2.0,2.0,2.0,25.847217,92.574292
2261.0,ASSAM,20.0,21.0,0.0,0.0,6.7,7.2,116.0,126.0,1.2,1.3,0.80,0.80,2.0,2.0,2.0,2.0,25.163311,93.012825
2262.0,ASSAM,23.0,23.0,0.0,0.0,6.1,7.2,102.0,112.0,1.4,1.9,0.70,0.80,2.0,2.0,2.0,2.0,24.866553,92.367203
2263.0,ASSAM,23.0,24.0,0.0,0.0,6.4,6.4,186.0,196.0,1.2,1.3,0.70,0.90,2.0,2.0,2.0,2.0,24.681103,92.563806
2264.0,ASSAM,23.0,24.0,0.0,0.0,6.3,6.4,142.0,148.0,1.3,4.2,1.00,1.30,2.0,2.0,2.0,2.0,24.861042,92.596669
3761.0,ASSAM,28.0,32.0,0.0,0.0,7.0,7.3,149.0,151.0,1.3,2.4,0.50,0.70,2.0,2.0,2.0,2.0,26.677976,93.140501
3762.0,ASSAM,26.0,28.0,0.0,0.0,7.1,7.7,42.0,345.0,1.2,1.4,0.50,0.70,2.0,2.0,2.0,2.0,26.848659,92.839577
3766.0,ASSAM,26.0,27.0,0.0,0.0,6.8,7.5,68.0,503.0,1.1,1.1,0.80,0.80,2.0,2.0,2.0,2.0,26.402321,92.050237
3770.0,ASSAM,25.0,28.0,0.0,0.0,7.1,7.5,235.0,237.0,1.6,2.4,2.20,2.30,2.0,2.0,2.0,2.0,26.754909,94.234144
3771.0,ASSAM,24.0,28.0,0.0,0.0,7.3,7.7,276.0,285.0,2.0,2.2,1.60,3.20,2.0,2.0,2.0,2.0,26.587406,94.186207
3779.0,ASSAM,24.0,27.0,0.0,0.0,6.9,7.6,207.0,210.0,0.7,1.1,1.90,2.00,2.0,2.0,2.0,2.0,26.931679,94.173072
3790.0,ASSAM,18.0,18.0,0.0,0.0,8.1,8.1,202.0,202.0,2.3,2.3,1.00,1.00,2.0,2.0,2.0,2.0,27.441809,94.292867
3793.0,ASSAM,26.0,26.0,0.0,0.0,6.7,6.8,150.0,452.0,1.4,2.4,0.70,0.80,2.0,2.0,2.0,2.0,26.522866,93.961134
3794.0,ASSAM,24.0,26.0,0.0,0.0,6.9,7.2,53.0,149.0,1.0,2.9,0.50,0.60,2.0,2.0,2.0,2.0,26.471975,94.098619
