STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max,Latitude,Longitude
3805,ASSAM,24,24,6.8,6.9,116,144,1.2,2,0.8,0.8,BDL,BDL,BDL,BDL,-,-,72,90,BDL,0.23,-,-,24.864102,92.358579
3813,ASSAM,25,30,7,7.2,258,368,1.3,1.8,0.8,0.8,BDL,BDL,BDL,BDL,-,-,148,200,0.22,0.23,,,26.167846,91.829173
3815,ASSAM,27,29,6.8,7.1,76,408,1.3,1.8,0.7,0.7,BDL,BDL,BDL,BDL,-,-,48,220,0.22,0.23,-,-,26.124278,91.809578
3816,ASSAM,27,28,7.2,7.2,73,393,1.2,1.7,0.6,0.8,BDL,BDL,BDL,BDL,-,-,50,212,BDL,0.27,-,-,26.105895,91.788621
3817,ASSAM,28,29,7.2,7.3,213,392,1.2,1.8,0.6,0.8,BDL,BDL,BDL,BDL,-,-,130,212,BDL,0.23,-,-,26.162529,91.759013
3818,ASSAM,29,29,7.4,7.4,60,400,1.3,1.5,0.4,0.8,BDL,BDL,BDL,BDL,-,-,42,216,BDL,0.21,-,-,26.172514,91.687694
4001,ASSAM,30,30,7,7.8,60,366,1.3,1.7,0.6,0.6,BDL,BDL,BDL,BDL,-,-,42,188,0.21,0.24,-,-,26.131082,91.821186
4002,ASSAM,29,29,7,7.5,65,383,1.5,1.6,0.5,0.6,BDL,BDL,BDL,BDL,-,-,46,210,0.21,0.21,-,-,26.168679,91.728525
4003,ASSAM,26,32,7,7.5,118,353,1.1,1.5,0.4,0.4,BDL,BDL,BDL,BDL,-,-,78,192,BDL,0.21,-,-,26.640064,92.817174
4007,ASSAM,22,28,7,7.2,242,314,1.3,1.4,0.5,0.8,BDL,BDL,BDL,BDL,-,-,136,176,BDL,0.21,-,-,27.000201,94.83739
4008,ASSAM,20,24,7,7.3,241,303,1.1,1.7,0.6,0.8,BDL,BDL,BDL,BDL,-,-,148,170,0.21,0.22,-,-,26.802778,94.698479
4303,ASSAM,27,27,7.2,7.2,66,66,1.6,1.6,0.5,0.5,BDL,BDL,BDL,BDL,-,-,44,44,BDL,BDL,-,-,26.164973,91.830489
4327,ASSAM,26,26,7.2,7.2,57,57,1.5,1.5,0.6,0.6,BDL,BDL,BDL,BDL,-,-,50,50,0.24,0.24,-,-,26.712883,92.20567
4328,ASSAM,26,26,7.2,7.2,57,57,1.8,1.8,0.6,0.6,BDL,BDL,BDL,BDL,-,-,38,38,0.23,0.23,-,-,26.70409,92.450585
4330,ASSAM,23,23,6.9,6.9,129,129,1.8,1.8,0.5,0.5,BDL,BDL,BDL,BDL,-,-,78,78,BDL,BDL,-,-,24.883995,92.878914
4333,ASSAM,25,26,7.5,7.6,251,266,1.1,1.8,0.6,0.8,BDL,BDL,BDL,910,-,-,142,150,0.22,0.24,-,-,27.126326,94.741545
4335,ASSAM,24,27,6.8,7,195,249,1.2,1.8,0.6,0.6,BDL,BDL,BDL,BDL,-,-,118,140,BDL,0.23,-,-,26.811289,94.520046
4338,ASSAM,18,27,7.2,7.4,35,262,1.3,2.2,0.6,0.8,BDL,BDL,BDL,BDL,-,-,20,150,0.23,0.24,-,-,26.930067,94.818487
4340,ASSAM,20,20,7.2,7.2,47,47,1.8,1.8,0.6,0.6,BDL,BDL,BDL,BDL,-,-,32,32,0.21,0.21,-,-,26.352638,92.706719
1825,BIHAR,24,24,7.3,7.3,1590,1590,-,-,6.04,6.04,79,79,79,79,18,18,1168,1168,0.38,0.38,-,-,25.579122,85.253317
1826,BIHAR,23,23,7.6,7.6,538,538,-,-,BDL,BDL,49,49,49,49,-,-,318,318,0.75,0.75,-,-,25.593237,85.174164
1827,BIHAR,25,25,7.7,7.7,600,600,-,-,BDL,BDL,33,33,46,46,-,-,-,-,0.82,0.82,-,-,25.620924,85.159936
1828,BIHAR,27,27,7.6,7.6,659,659,-,-,0.4,0.4,79,79,1600,1600,-,-,-,-,0.7,0.7,-,-,25.609619,85.136893
1829,BIHAR,23,23,7.7,7.7,602,602,-,-,BDL,BDL,14,14,22,22,-,-,-,-,0.43,0.43,-,-,25.611612,85.09125
1830,BIHAR,26,26,7.3,7.3,1110,1110,-,-,0.7,0.7,-,-,17,17,-,-,-,-,0.25,0.25,-,-,26.122167,85.382451
1831,BIHAR,26,26,7.1,7.1,1340,1340,-,-,BDL,BDL,49,49,49,49,-,-,-,-,0.38,0.38,-,-,26.123515,85.378269
1832,BIHAR,-,-,7.4,7.4,1170,1170,-,-,BDL,BDL,BDL,BDL,4,4,-,-,800,800,-,-,-,-,25.413449,86.139054
1833,BIHAR,-,-,7.6,7.6,1340,1340,-,-,BDL,BDL,22,22,1600,1600,-,-,910,910,0.25,0.25,-,-,25.415751,86.135881
1834,BIHAR,-,-,7.2,7.2,934,934,-,-,5.31,5.31,17,17,1600,1600,-,-,710,710,BDL,BDL,-,-,25.783319,87.466672
1835,BIHAR,-,-,7.4,7.4,642,642,-,-,5.69,5.69,22,22,1600,1600,-,-,580,580,BDL,BDL,-,-,25.772242,87.467227
1836,BIHAR,-,-,7.7,7.7,313,313,-,-,BDL,BDL,540,540,920,920,-,-,-,-,0.32,0.32,-,-,25.419944,86.129972
1837,BIHAR,-,-,7.7,7.7,896,896,-,-,1.74,1.74,920,920,920,920,-,-,-,-,0.79,0.79,-,-,25.419953,86.129981
1838,BIHAR,-,-,7.5,7.5,716,716,-,-,0.5,0.5,920,920,1600,1600,-,-,-,-,0.58,0.58,-,-,25.380978,86.465003
1839,BIHAR,-,-,7.8,7.8,289,289,-,-,BDL,BDL,350,350,350,350,-,-,-,-,0.93,0.93,-,-,25.372324,86.471752
1840,BIHAR,27,27,7.8,7.8,501,501,-,-,BDL,BDL,79,79,170,170,-,-,315,315,BDL,BDL,-,-,26.649806,84.916775
1842,BIHAR,28,28,7.3,7.3,1001,1001,-,-,3.98,3.98,7,7,11,11,-,-,-,-,0.73,0.73,-,-,24.795406,84.999433
1843,BIHAR,30,30,8,8,522,522,-,-,5.38,5.38,920,920,920,920,-,-,-,-,0.62,0.62,-,-,25.017233,85.416189
1844,BIHAR,28,28,7.3,7.3,549,549,-,-,1.2,1.2,33,33,540,540,-,-,358,358,0.9,0.9,-,-,25.783556,84.75325
2577,BIHAR,-,-,6.5,6.5,264,264,-,-,3.23,3.23,1100,1100,4900,4900,-,-,208,208,0.41,0.41,-,-,26.13508,87.467551
2578,BIHAR,26,26,7.1,7.1,510,510,-,-,BDL,BDL,17,17,33,33,-,-,-,-,0.3,0.3,-,-,25.325799,84.605419
2579,BIHAR,25,25,7.5,7.5,1020,1020,-,-,3.04,3.04,33,33,220,220,-,-,-,-,0.44,0.44,-,-,25.566265,83.983535
2581,BIHAR,27,27,7.6,7.6,574,574,-,-,BDL,BDL,920,920,920,920,-,-,-,-,0.25,0.25,-,-,26.160497,85.899783
2582,BIHAR,27,27,7.8,7.8,393,393,-,-,BDL,BDL,920,920,920,920,-,-,-,-,0.58,0.58,-,-,26.187745,85.903178
2583,BIHAR,28,28,7.1,7.1,1370,1370,-,-,-,-,2,2,2,2,-,-,880,880,0.52,0.52,-,-,26.46047,84.438832
2584,BIHAR,28,28,7.4,7.4,557,557,-,-,BDL,BDL,-,-,-,-,-,-,396,396,BDL,BDL,-,-,26.429064,84.394487
2585,BIHAR,30,30,7.9,7.9,506,506,-,-,BDL,BDL,130,130,220,220,-,-,-,-,0.55,0.55,-,-,25.216006,84.9842
2586,BIHAR,-,-,7,7,734,734,-,-,3.51,3.51,70,70,1600,1600,-,-,524,524,BDL,BDL,-,-,25.541982,87.567477
2588,BIHAR,-,-,6.6,6.6,375,375,-,-,5.04,5.04,2,2,11,11,-,-,262,262,-,-,-,-,25.676944,86.943056
2589,BIHAR,-,-,7.3,7.3,624,624,-,-,BDL,BDL,14,14,1600,1600,-,-,384,384,1.14,1.14,-,-,25.916944,86.778611
