STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
3152.0,BIHAR,25.0,25.0,8.0,8.2,297.0,297.0,,,,,4.0,4.0,8.0,8.0,27.107417,84.467131
3153.0,BIHAR,30.0,30.0,7.0,7.4,374.0,374.0,,,,,,,,,25.328697,84.410572
3154.0,BIHAR,26.0,26.0,7.0,7.4,960.0,960.0,,,,,4.0,4.0,7.0,7.0,24.789593,84.999556
3158.0,BIHAR,24.0,24.0,7.0,7.0,407.0,407.0,,,,,8.0,8.0,17.0,17.0,24.558892,84.799511
3159.0,BIHAR,26.0,26.0,8.0,8.2,624.0,624.0,,,,,2.0,2.0,4.0,4.0,25.586566,84.449575
3160.0,BIHAR,25.0,25.0,8.0,7.7,823.0,823.0,,,,,7.0,7.0,17.0,17.0,26.981397,84.853981
3162.0,BIHAR,25.0,25.0,8.0,7.6,927.0,927.0,,,,,4.0,4.0,12.0,12.0,26.004064,85.08065
2039.0,CHANDIGARH,26.0,30.0,7.0,7.6,785.0,840.0,,,0.7,4.6,,,,,30.751489,76.772606
2040.0,CHANDIGARH,28.0,30.0,7.0,7.3,730.0,780.0,,,0.0,0.3,,,,,30.73405,76.773239
2043.0,CHANDIGARH,26.0,30.0,7.0,7.8,425.0,1240.0,,,0.0,8.0,,,,,30.731825,76.725717
2044.0,CHANDIGARH,25.0,30.0,7.0,7.4,902.0,990.0,,,7.6,9.1,,,,,30.776019,76.74926
2045.0,CHANDIGARH,30.0,30.0,7.6,8.0,635.0,635.0,,,0.5,0.5,,,,,30.75385,76.740867
1620.0,CHHATTISGARH,27.0,28.0,8.0,7.8,534.0,686.0,0.2,0.4,0.4,2.8,,,4.0,6.0,21.251394,81.629733
1621.0,CHHATTISGARH,27.0,29.0,8.0,7.8,542.0,568.0,0.4,0.4,2.1,2.3,,,4.0,6.0,21.251394,81.629733
1622.0,CHHATTISGARH,30.0,34.0,8.0,7.5,638.0,738.0,,,0.8,1.2,,,6.0,6.0,22.079625,82.139142
1623.0,CHHATTISGARH,32.0,34.0,8.0,7.5,358.0,1814.0,0.0,0.0,0.6,0.9,,,6.0,6.0,22.079625,82.139142
3171.0,CHHATTISGARH,27.0,27.0,3.0,7.4,,,0.6,1.2,0.2,0.4,,,9.0,9.0,21.201958,81.340825
3172.0,CHHATTISGARH,26.0,27.0,7.0,7.1,,,0.4,0.6,0.2,0.4,,,,,22.424406,82.73913
3173.0,CHHATTISGARH,26.0,27.0,7.0,7.2,,,0.4,0.8,0.0,0.0,,,,,22.393874,82.678762
3174.0,CHHATTISGARH,26.0,27.0,7.0,7.1,,,0.6,0.6,0.0,0.0,,,,,22.385857,82.683508
1440.0,DAMAN & DIU,27.0,31.0,7.0,7.9,648.0,1341.0,5.0,10.0,0.2,7.8,,,,,20.407256,72.876327
2448.0,DAMAN & DIU,27.0,27.0,7.0,6.9,546.0,546.0,10.0,10.0,3.6,3.6,,,,,20.447361,72.857456
2449.0,DAMAN & DIU,26.0,26.0,7.0,7.2,1732.0,1732.0,12.0,12.0,0.6,0.6,,,,,20.400458,72.878133
2450.0,DAMAN & DIU,28.0,28.0,7.0,7.3,518.0,518.0,10.0,10.0,1.5,1.5,,,,,20.426775,72.847097
2451.0,"DAMAN &
DIU",26.0,26.0,7.0,7.0,580.0,580.0,10.0,10.0,2.3,2.3,,,,,20.40115,72.892161
