STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Unnamed: 19,Latitude,Longitude
2798,"KHAREKURAN MURBE CREEK, KHAREKURAN, PALGHAR, THANE",CREEK,MAHARASHTRA,23.0,33,3.4,5.5,7.6,8.3,10040.0,56450.0,5.4,12,1.0,2.9,31.0,900.0,140.0,1600.0,19.74137,72.711521
2799,"DAI CREEK, DAI, PALGHAR, THANE",CREEK, MAHARASHTRA,23.0,33,3.6,5.5,7.6,8.1,5821.0,55900.0,6.0,12,0.6,5.2,17.0,350.0,210.0,550.0,19.800635,72.684874
2800,"SARAWALI CREEK, SARAWALI, PALGHAR, THANE",CREEK,MAHARASHTRA,23.0,33,4.6,7.3,8.1,8.4,174.0,2833.0,3.0,5,0.2,2.6,43.0,900.0,150.0,1600.0,19.775596,72.755901
2801,"SAVTA CREEK, SAVTA, DAHANU, THANE",CREEK,MAHARASHTRA,22.0,33,4.1,6.5,7.6,8.6,240.0,54650.0,3.0,12,0.2,2.7,46.0,350.0,140.0,550.0,19.965659,72.779863
2802,"DAHANU CREEK AT DAHANU FORT, DANUGAON, DAHANU, THANE",CREEK,MAHARASHTRA,22.0,33,3.5,6.3,7.6,8.6,242.0,54730.0,3.0,12,0.1,2.9,70.0,900.0,140.0,1600.0,19.972691,72.717154
2803,"PANVEL CREEK AT KOPRA BRIDGE, KOPRA, PANVEL, RAIGAD",CREEK,MAHARASHTRA,23.0,30,4.6,7.3,7.1,8.7,66.0,46230.0,3.0,11,0.0,7.2,79.0,350.0,220.0,550.0,19.034286,73.082422
2804,"KARAMBAVANE CREEK AT CHIPLUM, KARAMBAVANE, RATNAGIRI",CREEK,MAHARASHTRA,22.0,28,4.7,7.3,6.8,8.1,126.0,15790.0,2.4,4.2,0.1,1.5,0.0,0.0,0.0,0.0,17.579149,73.426908
3196,"VAKHADI AT VILLAGE UMARWADA, TA ANKLESHWAR, BHARUCH",CREEK,GUJARAT,,,0.9,6.8,7.3,8.1,375.0,3310.0,1.9,28,0.0,0.0,,,1400.0,14000.0,21.628255,73.016715
3461,"KANOLI CANAL AT ERANJIKKAL, KAZHEKODE",CANAL,KERALA,27.0,35,3.4,7.5,6.9,7.8,2232.0,46000.0,0.9,3,0.0,0.5,130.0,3200.0,220.0,4200.0,11.335961,75.761858
3467,"UNTHITHODU AT ELOOR, ERNAKULAM",CANAL,KERALA,27.2,29.6,0.8,3.9,5.4,7.5,345.0,5000.0,0.5,6,0.1,7.8,12.0,220.0,21.0,540.0,10.07305,76.286714
3469,"PALAKKATTUTHAZHA-MTHODU AT PERUMBAVOOR, ERNAKULAM",CANAL,KERALA,26.0,29,2.3,7.5,6.5,7.3,64.0,186.0,0.5,2.6,0.0,0.8,13.0,220.0,33.0,240.0,10.1108,76.476031
2354,"SAMARLA KOTA CANAL, KAKINADA,EAST GODAVARI, A.P",CANAL, ANDHRA PRADESH,19.0,32,4.8,6.4,6.9,7.8,206.0,528.0,0.8,2.4,0.3,1.6,9.0,64.0,75.0,2400.0,17.042624,82.166873
2355,"TULJE BAGH CANAL, TEKRI DRAIN, KAKINADA, EAST GODAVARI, A.P",CANAL, ANDHRA PRADESH,18.0,31,3.0,5.6,7.1,7.8,554.0,14550.0,1.0,2.8,0.4,2.0,3.0,23.0,7.0,1100.0,16.854914,82.231328
3051,"BUDAMERU CANAL NR BDG AT NH-5, KEESARAPALLY, KRISHNA, A.P.",CANAL, ANDHRA PRADESH,24.0,27,0.0,6.1,6.8,8,1000.0,1890.0,1.8,12,0.0,107.0,2.0,2200.0,4.0,2700.0,16.518542,80.77469
3052,"GUNTATHIPPA DRAIN B/C WITH RYVES CANAL AT RAMAVARAPPADU, KRISHNA, A.P.",CANAL, ANDHRA PRADESH,23.0,27,0.0,4.1,6.7,8.4,1008.0,3480.0,1.2,64,0.0,14.0,2.0,5000.0,4.0,4000.0,16.525092,80.68445
3053,"TULIA BAGH DRAIN AT VEMULAVADA, EAST GODAVARI, A.P.",DRAIN, ANDHRA PRADESH,18.0,31,3.5,5.6,7.0,7.9,492.0,8650.0,1.0,3.5,0.3,2.1,3.0,93.0,15.0,2400.0,16.875379,82.14765
3054,"OUTLET OF ASH PO EFFLUENTS OF M/S.NTPC, RAMAGUAM, KARIMNAGAR, A.P.",DRAIN, ANDHRA PRADESH,25.0,25,1.0,2.1,7.4,9.2,844.0,1039.0,4.0,12,0.0,0.1,,,,,18.758647,79.451014
3067,"OUTLET OF STP ON GODAVARI, RAJAHMURY, EAST GODAVARI, A.P.",STP, ANDHRA PRADESH,19.0,35,5.0,6.5,7.1,8,188.0,296.0,1.0,3.2,0.0,1.8,7.0,43.0,15.0,2400.0,17.047062,81.775012
2932,"RIVER NARMADA MAIN CANAL (BEFORE ENTERING IN RAJASTHAN STATE), TEHSIL SANCHORE, JALORE, RAJASTHAN",CANAL,RAJASTHAN,16.0,35,5.2,9.1,7.2,8.9,170.0,770.0,0.7,1.9,0.1,3.0,3.0,7.0,3.0,150.0,24.762569,71.73495
2933,"GANG CANAL AT KHAKKA HEAR NEAR HIUMAL KOT, GANGANAGAR, RAJASTHAN",CANAL,RAJASTHAN,16.0,30.8,4.4,6.3,7.4,8.7,180.0,300.0,0.7,2.3,0.2,1.6,11.0,93.0,75.0,460.0,30.180856,73.973639
2934,MASITAWALA HEAD HANUMANGARH,CANAL,RAJASTHAN,15.5,31.6,4.6,6.1,7.4,8.6,190.0,470.0,1.0,2.9,0.1,1.2,14.0,150.0,210.0,1100.0,29.60093,74.321796
3055,"TREATED EFFLUENTS OF 339 MLD STP,AMBERPET, HYDERABAD BEFORE JOINING TO MUSI, HYDERABAD, A.P.",STP,TELANGANA,21.0,30,2.0,4.9,6.7,7.9,1377.0,1664.0,10.0,40,0.0,4.4,,,,,17.375853,78.529522
3056,"OUTLET OF STP, LANGARHOUSE LAKE, RANGA REDDY, A.P.",STP,TELANGANA,28.0,28,,,7.6,7.6,1200.0,1200.0,20.0,260,0.0,0.0,,,,,17.382383,78.414969
3057,"OUTLET OF STP, NAGOLE ON RIVERMUSI, RANGA REDDY, A.P.",STP,TELANGANA,24.0,30,1.4,4.8,6.6,8.7,1088.0,2022.0,12.0,49,0.0,0.0,,,,,17.38925,78.578039
3058,"OUTLET OF STP, KHAIRATABAD ONHUSSAINSAGAR LAKE, RANGA REDDY, A.P",STP,TELANGANA,22.0,30,2.4,3.8,6.8,8,1036.0,2500.0,12.0,32,0.0,0.0,,,,,17.416597,78.465164
3059,"OUTLET OF STP, SAFILGUDA LAKE, RANGA REDDY, A.P.",STP,TELANGANA,26.0,30,2.5,2.5,7.1,8.9,1798.0,2100.0,16.0,22,0.0,0.0,,,,,17.46244,78.53509
3060,"OUTLET OF STP, DURGAM CHERUVU, RANGAREDDY, A.P",STP, TELANGANA,26.0,30,1.8,5.4,7.4,8.1,157.0,2200.0,14.0,48,0.0,0.0,,,,,17.431905,78.388593
3061,"OUTLET OF STP, NALLACHERUVU ON MUSI, RANGAREDDY, A.P.",STP,TELANGANA,22.0,30,2.0,4.8,6.9,8.8,1295.0,2024.0,16.0,45,0.0,0.0,,,,,17.404603,78.575576
3062,"OUTLET OF STP, SAROOR NAGAR, RANGAREDDY, A.P.",STP,TELANGANA,24.0,30,2.0,3.5,6.8,8.8,1588.0,2649.0,12.0,50,0.0,0.0,,,,,17.353142,78.529911
3063,"OUTLET OF STP ON RIVER GODAVARI AT MANCHERIAL, ADILABAD, A.P.",STP,TELANGANA,26.0,30,0.0,6.1,6.8,7.4,1620.0,2510.0,36.0,170,0.0,0.0,,,,,18.867183,79.404586
3064,"OUTLET OF 4MLD STP ON RIVER GODAVARI AT RAMAGUAM, KARIMNAGAR, A.P.",STP,TELANGANA,21.0,28,0.0,0.0,6.8,8.1,1089.0,1418.0,10.0,54,0.0,3.5,,,,,18.757561,79.466472
3065,"OUTLET OF 14MLD STP ON GODAVARI, RAMAGUAM, KARIMNAGAR, A.P.",STP,TELANGANA,22.0,28,0.0,0.0,7.0,8.3,1014.0,1598.0,12.0,124,0.0,3.4,,,,,18.756764,79.463308
3066,"OUTLET OF STP ON GODAVARI, BHADRACHALAM, KHAMMAM, A.P.",STP,TELANGANA,20.0,27,0.0,4.2,7.0,7.8,922.0,1610.0,28.0,110,0.0,0.0,,,,,17.665869,80.883311
2726,"UPPER GANGA CANAL D/S HARIKIPAURI, HARIDWAR",CANAL, UTTARAKHAND,14.0,22.5,6.0,10.0,7.6,8.2,,,1.0,34,0.0,0.0,,,22.0,60.0,29.930289,78.137206
2512,"NOAI CANAL NORTH 24 PARGANAS, NEAR GANGA NAGAR MOTI BRIDGE",CANAL, WEST BENGAL,21.0,32.5,0.0,0.0,7.3,7.9,776.0,1951.0,13.8,44.6,0.0,4.0,1100000.0,9000000.0,1400000.0,16000000.0,22.694406,88.44775
2513,"KHARDA CANAL NORTH 24 PARGANAS, NEAR JAYSHREE CHEMICAL INDUSTRY",CANAL, WEST BENGAL,22.0,33,0.0,0.0,7.2,8,902.0,1123.0,31.3,112.5,0.0,4.0,1100000.0,17000000.0,1700000.0,22000000.0,22.518705,88.323864
