STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,Latitude,Longitude
10054,CANAL,TAMIL NADU,28.0,31.0,0.3,1.3,6.6,7.3,1156.0,2130.0,3.0,53.0,0.3,4.6,40.0,610.0,630.0,5400.0,,,13.050823,80.278958
4198,CANAL,TRIPURA,21.0,32.0,5.1,6.0,7.0,7.8,131.0,191.0,1.2,2.4,0.6,1.6,38.0,94.0,110.0,350.0,,,24.392541,92.157995
3389,CANAL,TRIPURA,20.0,30.0,5.4,6.6,6.9,7.5,129.0,175.0,1.2,1.9,0.5,1.3,26.0,58.0,110.0,210.0,,,23.849131,91.924411
3387,CANAL,TRIPURA,21.0,31.0,5.5,6.7,6.9,7.5,120.0,174.0,1.1,1.9,0.5,1.2,26.0,63.0,94.0,220.0,,,23.902792,91.394906
1729,CANAL,TRIPURA,21.0,32.0,0.3,1.7,5.4,6.4,289.0,505.0,38.0,72.0,11.6,25.6,840.0,1600.0,3200.0,8600.0,,,23.844592,91.276394
4199,CANAL,TRIPURA,21.0,32.0,2.9,4.6,6.5,7.5,159.0,223.0,5.8,11.8,1.5,3.8,48.0,94.0,170.0,430.0,,,24.340189,92.122992
3388,CANAL,TRIPURA,21.0,31.0,5.3,6.5,7.0,7.7,135.0,191.0,1.2,2.2,0.5,1.4,31.0,63.0,110.0,240.0,,,23.510969,91.437092
3390,CANAL,TRIPURA,20.0,30.0,5.2,6.4,6.9,7.6,119.0,161.0,1.1,1.9,0.4,1.2,22.0,58.0,94.0,170.0,,,23.834333,91.942208
2726,CANAL,UTTARAKHAND,16.0,25.0,7.7,10.0,7.6,8.4,156.0,355.0,1.2,2.4,0.3,1.3,22.0,94.0,70.0,150.0,9.0,47.0,29.930289,78.137206
3998,CANAL,UTTARAKHAND,15.0,25.0,7.8,10.4,7.6,8.3,172.0,344.0,1.4,2.3,0.3,1.4,24.0,94.0,63.0,140.0,9.0,48.0,29.947667,78.161833
3999,CANAL,UTTARAKHAND,16.0,25.0,7.6,10.2,7.2,8.2,188.0,384.0,1.0,1.8,0.3,1.9,27.0,70.0,70.0,150.0,7.0,46.0,29.754444,78.276056
2513,CANAL,WEST BENGAL,21.0,34.0,0.3,2.8,6.7,7.9,669.0,1464.0,20.7,155.0,0.3,0.6,170000.0,54000000.0,2400000.0,92000000.0,79000.0,5400000.0,22.518705,88.323864
2512,CANAL,WEST BENGAL,19.0,33.0,0.3,1.1,6.6,7.6,581.0,2537.0,12.2,57.5,0.3,1.0,1100000.0,5400000.0,3500000.0,9200000.0,170000.0,2400000.0,22.694406,88.44775
