STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max
1729,CANAL,TRIPURA,18,33,1.1,1.6,5.55,6.71,303,476,48,88,19.4,43.1,920,2500,3800,6800,-,-
3387,CANAL,TRIPURA,19,30,5.2,6.8,6.97,7.89,128,184,1.1,1.9,0.9,2.2,21,58,94,210,-,-
3388,CANAL,TRIPURA,20,31,5.2,6.2,7.05,7.57,141,194,1.2,2.1,0.8,2.2,27,63,130,280,-,-
3389,CANAL,TRIPURA,19,30,5.4,6.6,7.01,7.48,138,194,1.1,1.9,0.8,1.8,17,47,79,240,-,-
3390,CANAL,TRIPURA,19,30,5.2,6.2,6.9,7.69,129,188,1.1,1.9,0.8,1.9,22,58,84,240,-,-
4198,CANAL,TRIPURA,19,32,5.2,6.3,7.05,7.89,138,199,1.3,2.4,1,2.8,34,63,130,350,-,-
4199,CANAL,TRIPURA,20,32,1.8,4.6,6.54,6.99,174,271,6.6,16,2.6,6.9,58,94,120,430,-,-
2512,CANAL,WEST BENGAL,18,35,0.3,0.3,7.3,8.23,791,2713,15.3,67,0.3,0.3,230000,5400000,790000,9200000,130000,920000
2513,CANAL,WEST BENGAL,23,33,0.3,0.9,7.14,7.65,743,998,41.2,140,0.3,0.7,7900000,54000000,13000000,92000000,490000,9200000
,,,,,,,,,,,,,,,,,,,,
