STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max
2253,ASSAM,19,20,7,7.2,340,344,2.5,2.6,0.9,2.5,-,-,-,-,194,218,0.26,0.3,0.01,0.01
2254,ASSAM,32,32,7.4,7.4,158,158,2.6,2.6,0.9,0.9,-,-,-,-,120,120,0.32,0.32,0.02,0.02
2255,ASSAM,26,30,6.8,7,310,347,2.5,2.6,0.8,0.9,-,-,-,-,196,198,0.28,0.32,0.01,0.02
2256,ASSAM,25,30,6.9,7.7,342,348,2.4,2.5,0.8,1,-,-,-,-,196,212,0.32,0.33,0.01,0.02
2257,ASSAM,24,29,6.8,7.2,316,342,2.4,2.6,0.8,0.9,-,-,-,-,180,210,0.3,0.3,0.01,0.04
2258,ASSAM,27,31,6.8,6.9,332,336,2.3,2.4,1,1.1,-,-,-,-,190,206,0.28,0.31,0.01,0.01
2259,ASSAM,28,28,6.9,6.9,264,264,2.6,2.6,1.6,1.6,-,-,-,-,188,188,0.33,0.33,0.01,0.01
2261,ASSAM,14,14,7,7,113,113,2.2,2.2,1,1,-,-,-,-,72,72,0.28,0.28,0.01,0.01
2262,ASSAM,22,24,6.8,6.9,126,132,2.5,2.6,1,1.1,-,-,-,-,80,96,0.31,0.32,0.01,0.01
2263,ASSAM,24,24,6.9,7,182,186,2.2,2.3,0.8,0.9,-,-,-,-,112,126,0.28,0.31,0.01,0.01
2264,ASSAM,22,23,6.8,7.2,152,156,2.4,2.7,0.8,0.9,-,-,-,-,96,106,0.26,0.3,0.01,0.02
3761,ASSAM,22,25,7.4,7.5,262,270,2.4,2.6,0.8,1.1,-,-,-,-,148,158,0.3,0.31,0.01,0.01
3762,ASSAM,26,26,6.6,7.1,246,278,2.3,2.4,0.8,1.6,BDL,BDL,BDL,BDL,166,166,0.27,0.33,0.01,0.01
3766,ASSAM,26,27,6.8,7,196,360,2.1,2.2,0.9,1.2,BDL,BDL,BDL,BDL,134,204,0.28,0.36,0.01,0.01
3770,ASSAM,20,25,6.9,7,240,245,2.6,2.7,0.9,1,-,-,-,-,140,162,0.28,0.3,0.01,0.01
3771,ASSAM,19,26,6.9,8,422,428,2.4,2.5,1,1.1,-,-,-,-,232,266,0.28,0.3,0.01,0.01
3779,ASSAM,24,24,6.8,6.8,194,194,2.1,2.1,1.6,1.6,-,-,-,-,132,132,0.33,0.33,0.01,0.01
3782,ASSAM,23,23,6.3,6.3,176,176,2.5,2.5,1,1,-,-,-,-,122,122,0.32,0.32,0.01,0.01
3785,ASSAM,22,23,6.8,6.9,260,264,2.4,2.5,0.9,1,-,-,-,-,150,176,0.28,0.31,0.01,0.01
3790,ASSAM,23,23,7.1,7.1,212,212,2.2,2.2,1.4,1.4,-,-,-,-,146,146,0.31,0.31,0.01,0.01
3793,ASSAM,27,27,7.2,7.2,242,242,2.5,2.5,1,1,-,-,-,-,166,166,0.31,0.31,0.01,0.01
3794,ASSAM,26,26,7.4,7.5,298,303,2.4,2.6,0.8,0.9,-,-,-,-,170,178,0.28,0.3,0.01,0.01
3795,ASSAM,26,26,7.1,7.4,342,345,2.5,2.6,0.9,1,-,-,-,-,192,208,0.3,0.31,0.01,0.01
3801,ASSAM,23,24,6.8,6.9,201,212,2.4,2.5,0.9,1,-,-,-,-,118,132,0.28,0.31,0.01,0.01
3802,ASSAM,23,24,7,7.2,206,216,2.3,2.5,0.8,0.9,-,-,-,-,120,138,0.29,0.31,0.01,0.01
3805,ASSAM,23,24,6.8,7.2,158,162,2.3,2.4,1,1.1,-,-,-,-,98,112,0.3,0.31,0.01,0.01
3813,ASSAM,24,25,6.7,6.9,324,328,2.4,2.6,0.7,0.9,-,-,-,-,180,206,0.28,0.32,0.01,0.01
3815,ASSAM,24,24,6.8,7,198,346,2.2,2.5,0.7,1,BDL,BDL,BDL,BDL,142,190,0.28,0.32,0.01,0.01
3816,ASSAM,24,24,6.9,7.2,210,370,2.3,2.4,0.8,1.2,BDL,BDL,BDL,BDL,148,202,0.31,0.32,0.01,0.01
3817,ASSAM,26,27,7.02,7.4,338,352,2.3,2.4,0.8,2.4,BDL,BDL,BDL,BDL,186,220,0.28,0.36,0.01,0.01
3818,ASSAM,27,27,6.9,7.4,342,367,2.4,2.7,0.9,1.8,BDL,BDL,BDL,BDL,202,226,0.27,0.32,0.01,0.01
4001,ASSAM,24,26,6.8,7,266,330,2.3,2.3,0.8,1.4,BDL,BDL,BDL,BDL,178,188,0.3,0.33,0.01,0.01
4002,ASSAM,27,27,7,7.3,216,346,2.4,2.6,0.8,1.2,BDL,BDL,BDL,BDL,132,190,0.29,0.33,0.01,0.01
4003,ASSAM,26,26,7,7,164,254,2.2,2.5,0.7,1.5,BDL,BDL,BDL,BDL,98,178,0.28,0.33,0.01,0.01
4007,ASSAM,22,25,6.9,7.2,190,293,2.2,2.6,0.8,1.4,BDL,BDL,BDL,BDL,128,170,0.26,0.32,0.01,0.01
4008,ASSAM,21,25,7.7,7.7,221,295,2.2,2.5,0.8,0.9,BDL,BDL,BDL,BDL,126,168,0.27,0.34,0.01,0.01
4303,ASSAM,24,24,6.9,7.3,242,322,2.3,2.4,0.9,1.2,BDL,BDL,BDL,BDL,172,178,0.28,0.32,0.01,0.01
4327,ASSAM,25,26,6.7,6.9,212,326,2.2,2.5,0.8,1,BDL,BDL,BDL,BDL,148,188,0.29,0.33,0.01,0.01
4328,ASSAM,24,28,6.8,7.8,210,337,2.3,2.6,0.7,1.4,BDL,BDL,BDL,BDL,140,188,0.29,0.3,0.01,0.01
4330,ASSAM,22,22,7,7,142,142,2.2,2.2,0.7,0.7,-,-,-,-,88,88,0.3,0.3,0.01,0.01
4333,ASSAM,25,27,7.2,7.5,220,326,2.2,2.3,0.8,0.8,BDL,BDL,BDL,BDL,128,188,0.27,0.3,0.01,0.01
4335,ASSAM,20,28,7,7.6,242,256,2,2.5,0.8,1.1,BDL,BDL,BDL,BDL,138,146,0.26,0.3,0.01,0.01
4338,ASSAM,24,26,6.9,7.7,122,267,2.3,2.3,0.8,1.4,BDL,BDL,BDL,BDL,84,158,0.28,0.32,0.01,0.01
4339,ASSAM,21,21,6.9,6.9,186,186,2.5,2.5,1.4,1.4,-,-,-,-,126,126,0.34,0.34,-,-
4340,ASSAM,21,21,6.8,6.8,196,196,2.6,2.6,1.2,1.2,-,-,-,-,134,134,0.33,0.33,0.01,0.01
5143,ASSAM,24,26,6.8,6.8,206,369,2,2.4,0.7,1.2,BDL,BDL,BDL,BDL,138,208,0.27,0.31,0.01,0.01
1825,BIHAR,19,22,7.13,7.18,415,580,-,-,BDL,BDL,4.5,350,7.8,920,294,414,0.34,0.54,-,-
1826,BIHAR,28,30,7.2,7.3,418,423,-,-,BDL,BDL,79,79,130,130,288,306,0.51,0.64,-,-
1827,BIHAR,19,22,7.08,7.28,436,514,-,-,BDL,BDL,33,920,49,1600,312,328,0.28,0.49,-,-
1828,BIHAR,22,30,7.16,7.22,504,533,-,-,BDL,BDL,22,22,130,130,376,384,0.49,0.82,-,-
1829,BIHAR,21,30,7.25,7.46,465,502,-,-,BDL,BDL,BDL,BDL,BDL,BDL,338,362,0.5,0.5,-,-
1830,BIHAR,27,29,7.1,7.2,1016,1030,-,-,0.31,0.31,130,130,150,150,678,730,0.62,0.62,-,-
1831,BIHAR,27,29,6.9,6.96,1020,1070,-,-,BDL,BDL,170,350,280,1600,590,738,0.6,0.6,-,-
1832,BIHAR,25,26,7.21,7.4,980,1110,-,-,BDL,BDL,7.8,7.8,4.5,23,628,706,0.39,0.39,-,-
1833,BIHAR,25,26,7.12,7.4,829,980,-,-,BDL,BDL,BDL,BDL,BDL,BDL,588,620,0.27,0.27,-,-
1834,BIHAR,21,28,6.78,7.1,603,707,-,-,0.42,0.42,BDL,BDL,BDL,BDL,424,434,0.23,0.23,-,-
1835,BIHAR,21,26,7.03,7.5,266,596,-,-,1.18,5.23,350,350,540,540,198,422,0.41,0.41,-,-
1836,BIHAR,21,25,6.81,7.45,282,751,-,-,2.23,2.23,920,920,1600,1600,206,572,0.46,1.03,-,-
1837,BIHAR,23,25,7.38,7.78,729,796,-,-,2.32,3.19,2400,2400,3500,3500,580,606,0.78,1.05,-,-
1838,BIHAR,18,29,6.75,7.38,1110,1210,-,-,2.96,3.67,13,130,33,350,872,932,0.54,0.76,-,-
1839,BIHAR,18,28,7.24,7.6,351,482,-,-,0.41,0.41,33,350,79,1600,244,332,0.37,1.53,-,-
1840,BIHAR,23,30,7.06,7.3,856,1060,-,-,BDL,BDL,13,13,23,23,624,648,0.29,0.29,-,-
1841,BIHAR,26,27,7.08,7.28,1026,1200,-,-,0.88,0.88,33,33,240,240,840,888,0.48,0.74,-,-
1842,BIHAR,26,29,7.4,7.85,350,563,-,-,0.92,1.59,BDL,BDL,BDL,BDL,240,418,0.35,1.13,-,-
1843,BIHAR,27,30,6.98,7.19,375,1020,-,-,5.22,5.22,2,2,4.5,7.8,282,792,0.46,0.8,-,-
1844,BIHAR,22,24,7.05,7.05,1080,1220,-,-,0.76,0.76,4.5,4.5,13,13,810,830,0.51,0.63,-,-
2576,BIHAR,28,28,7.39,7.39,633,633,-,-,BDL,BDL,BDL,BDL,BDL,BDL,450,450,1.48,1.48,-,-
2577,BIHAR,25,26,6.8,6.82,241,386,-,-,3.83,5.23,33,33,4.5,130,162,162,0.48,0.48,-,-
2578,BIHAR,19,25,7.2,7.45,559,1040,-,-,1.47,1.69,140,140,220,220,380,612,0.44,0.56,-,-
2579,BIHAR,25,25,7.1,7.63,772,873,-,-,1.58,2.01,350,350,540,540,492,608,0.63,0.71,-,-
2580,BIHAR,29,30,7.11,7.29,680,810,-,-,1.09,1.09,2,13,7.8,23,470,532,0.82,0.83,-,-
2581,BIHAR,26,27,7.6,7.61,594,602,-,-,BDL,BDL,13,13,33,33,392,424,0.85,0.97,-,-
2582,BIHAR,28,28,7.58,8.1,390,391,-,-,BDL,BDL,13,350,33,1600,252,268,0.43,0.47,-,-
2583,BIHAR,22,24,6.99,7.01,451,1880,-,-,2.45,2.45,BDL,BDL,BDL,BDL,330,1090,0.24,0.54,-,-
2584,BIHAR,22,24,6.8,7.1,503,1020,-,-,BDL,BDL,17,17,13,49,342,812,0.25,0.25,-,-
2585,BIHAR,28,28,7.46,7.76,576,1250,-,-,0.49,6.58,BDL,BDL,6.8,6.8,468,826,0.63,0.98,-,-
2586,BIHAR,23,25,6.89,7.2,429,530,-,-,0.91,0.91,13,13,33,33,256,366,0.47,0.47,-,-
2587,BIHAR,24,26,7.32,7.5,677,850,-,-,BDL,BDL,BDL,BDL,BDL,BDL,426,630,BDL,BDL,-,-
2588,BIHAR,22,27,6.74,7.2,329,492,-,-,4.35,5.47,13,13,23,23,216,338,BDL,BDL,-,-
2589,BIHAR,26,27,7.18,7.3,612,636,-,-,3.81,3.81,7.8,7.8,23,23,412,434,0.98,0.98,-,-
2590,BIHAR,29,29,7.22,8.2,832,840,-,-,BDL,BDL,BDL,BDL,2,2,552,580,0.41,0.9,-,-
2591,BIHAR,29,29,7.22,7.32,1055,1660,-,-,2.57,3.31,BDL,BDL,BDL,BDL,718,1262,0.69,1.24,-,-
2592,BIHAR,26,28,7.46,7.73,497,643,-,-,0.57,5.31,BDL,BDL,2,2,342,452,0.42,1.15,-,-
2593,BIHAR,27,27,7,7,1059,1059,-,-,4.57,4.57,BDL,BDL,BDL,BDL,720,720,0.52,0.52,-,-
2594,BIHAR,22,27,6.91,7.2,753,868,-,-,2.37,2.37,BDL,BDL,BDL,BDL,518,520,0.48,1.13,-,-
2595,BIHAR,27,28,7.25,7.38,935,1310,-,-,0.51,0.78,17,280,49,350,644,886,0.44,0.45,-,-
