3172,CHHATTISGARH,26,27,7,7.1,,,0.4,0.6,0.2,0.4,,,,
3173,CHHATTISGARH,26,27,7,7.2,,,0.4,0.8,0,0,,,,
3174,CHHATTISGARH,26,27,7,7.1,,,0.6,0.6,0,0,,,,
1440,DAMAN & DIU,27,31,7,7.9,648,1341,5,10,0.2,7.8,,,,
2448,DAMAN & DIU,27,27,7,6.9,546,546,10,10,3.6,3.6,,,,
2449,DAMAN & DIU,26,26,7,7.2,1732,1732,12,12,0.6,0.6,,,,
2450,DAMAN & DIU,28,28,7,7.3,518,518,10,10,1.5,1.5,,,,
2451,"DAMAN &
DIU",26,26,7,7,580,580,10,10,2.3,2.3,,,,
2452,DAMAN & DIU,27,27,7,7.4,1649,1649,11,11,1.6,1.6,,,,
2453,"DADRA &
NAGAR HAVELI",27,27,8,7.8,446,446,10,10,0,0,,,,
2454,"DADRA &
NAGAR HAVELI",27,27,7,7.3,569,569,10,10,2.6,2.6,,,,
2455,"DADRA & NAGAR
HAVELI",27,27,8,7.5,1564,1564,20,20,0,0,,,,
2456,"DADRA &
NAGAR HAVELI",27,27,7,7.3,1281,1281,12,12,2.9,2.9,,,,
2457,"DADRA & NAGAR
HAVELI",28,28,7,7.3,1010,1010,10,10,0.7,0.7,,,,
2458,"DADRA & NAGAR
HAVELI",28,28,7,7.4,1733,1733,10,10,0.6,0.6,,,,
1440,DAMAN & DIU,27,31,7,7.9,648,1341,5,10,0.2,7.8,,,,
2448,DAMAN & DIU,27,27,7,6.9,546,546,10,10,3.6,3.6,,,,
2449,DAMAN & DIU,26,26,7,7.2,1732,1732,12,12,0.6,0.6,,,,
2450,DAMAN & DIU,28,28,7,7.3,518,518,10,10,1.5,1.5,,,,
2451,"DAMAN &
DIU",26,26,7,7,580,580,10,10,2.3,2.3,,,,
2452,DAMAN & DIU,27,27,7,7.4,1649,1649,11,11,1.6,1.6,,,,
2453,"DADRA &
NAGAR HAVELI",27,27,8,7.8,446,446,10,10,0,0,,,,
2454,"DADRA &
NAGAR HAVELI",27,27,7,7.3,569,569,10,10,2.6,2.6,,,,
2455,"DADRA & NAGAR
HAVELI",27,27,8,7.5,1564,1564,20,20,0,0,,,,
2456,"DADRA &
NAGAR HAVELI",27,27,7,7.3,1281,1281,12,12,2.9,2.9,,,,
2457,"DADRA & NAGAR
HAVELI",28,28,7,7.3,1010,1010,10,10,0.7,0.7,,,,
2458,"DADRA & NAGAR
HAVELI",28,28,7,7.4,1733,1733,10,10,0.6,0.6,,,,
3525,DELHI,,,7,7.4,560,560,,,,,,,,
3527,DELHI,,,7,7.9,503,2740,,,,,,,,
3529,DELHI,,,8,7.9,1755,1755,,,,,,,,
3532,DELHI,,,7,7.4,728,728,,,,,,,,
3533,DELHI,,,8,7.5,1330,1330,,,,,,,,
3536,DELHI,,,8,7.7,1240,1240,,,,,,,,
3539,DELHI,,,9,8.6,1930,1930,,,,,,,,
3543,DELHI,,,7,8.2,998,2760,,,,,,,,
3545,DELHI,,,8,8,915,915,,,,,,,,
3546,DELHI,,,8,7.5,2370,2370,,,,,,,,
3547,DELHI,,,8,7.8,720,720,,,,,,,,
3549,DELHI,,,7,7.6,903,1550,,,,,,,,
3550,DELHI,,,7,7.3,3020,3020,,,,,,,,
3551,DELHI,,,8,7.6,1060,1060,,,,,,,,
2277,GOA,27,32,6,7.1,265,295,0.5,0.7,0,1.3,,,,
2278,GOA,26,31,7,8,104,115,0.2,0.9,0.8,0.9,7.8,7.8,17,17
2280,GOA,29,32,6,7.3,149,203,0.5,1.5,0.6,0.8,,,,
2281,GOA,25,32,6,6.9,52,71,0.4,0.7,0.1,0.6,49,49,130,130
2282,GOA,28,32,7,7.3,258,280,0.8,1.1,0,0.1,23,23,1.8,49
3193,GOA,29,30,6,6.8,224,296,0.9,8.3,0,1.4,49,49,130,130
3194,GOA,25,29,6,5.8,94,105,0.4,0.5,0.4,0.9,,,,
3195,GOA,26,29,6,6.6,71,73,0.5,1,0.6,1.5,,,,
1226,GUJARAT,33,33,8,8.8,279,1890,1.7,1.9,0.6,2.6,1.8,1.8,1.8,1.8
1948,GUJARAT,29,30,7,7.5,1306,2300,1.3,1.3,0.4,0.4,,,,
1949,GUJARAT,30,30,8,8,1903,2760,1.1,1.8,0.4,0.4,,,,
1951,GUJARAT,25,30,8,8.2,506,1230,0.4,0.7,0.1,2.4,,,,
1953,GUJARAT,29,30,7,7.3,927,1113,0.4,0.4,0.1,0.4,,,,
1955,GUJARAT,,,8,8.3,1465,1730,1.2,2.2,0.4,4.2,,,,
1956,GUJARAT,28,29,8,8.6,,,1.1,1.7,0,7.1,,,,
1957,GUJARAT,27,30,8,8.6,1280,1405,1.1,2.3,0.6,4,,,,
1958,GUJARAT,27,30,8,8.3,,,1.1,1.4,0.4,4.9,,,,
1959,GUJARAT,24,28,8,7.8,1852,2463,2.1,5,0.5,0.8,2,2,2,2
1960,GUJARAT,31,31,7,7.4,672,672,2,2,2.4,2.4,2,2,2,2
1961,GUJARAT,30,30,8,7.7,840,840,2,2,1.2,1.2,2,2,2,2
1963,GUJARAT,29,29,7,7.4,3540,3540,13,13,0.6,0.6,2,2,2,2
1964,GUJARAT,28,28,8,7.6,1774,1774,2.9,2.9,0.3,0.3,4,4,9.2,9.2
