STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max
2257,ASSAM,28.0,30.0,0.0,0.0,7.0,7.0,180,280,1.3,1.7,1.00,1.00,2,2,2,2
2258,ASSAM,25.0,29.0,0.0,0.0,7.0,7.7,201,299,1.3,2.0,1.00,1.20,2,2,2,2
2259,ASSAM,20.0,27.0,0.0,6.5,7.2,8.1,56,739,1.2,4.0,1.10,2.00,2,730,2,2000
2260,ASSAM,23.0,24.0,0.0,0.0,5.8,6.2,90,152,1.0,1.6,0.80,1.60,2,2,2,2
2261,ASSAM,20.0,21.0,0.0,0.0,6.7,7.2,116,126,1.2,1.3,0.80,0.80,2,2,2,2
2262,ASSAM,23.0,23.0,0.0,0.0,6.1,7.2,102,112,1.4,1.9,0.70,0.80,2,2,2,2
2263,ASSAM,23.0,24.0,0.0,0.0,6.4,6.4,186,196,1.2,1.3,0.70,0.90,2,2,2,2
2264,ASSAM,23.0,24.0,0.0,0.0,6.3,6.4,142,148,1.3,4.2,1.00,1.30,2,2,2,2
3761,ASSAM,28.0,32.0,0.0,0.0,7.0,7.3,149,151,1.3,2.4,0.50,0.70,2,2,2,2
3762,ASSAM,26.0,28.0,0.0,0.0,7.1,7.7,42,345,1.2,1.4,0.50,0.70,2,2,2,2
3766,ASSAM,26.0,27.0,0.0,0.0,6.8,7.5,68,503,1.1,1.1,0.80,0.80,2,2,2,2
3770,ASSAM,25.0,28.0,0.0,0.0,7.1,7.5,235,237,1.6,2.4,2.20,2.30,2,2,2,2
3771,ASSAM,24.0,28.0,0.0,0.0,7.3,7.7,276,285,2.0,2.2,1.60,3.20,2,2,2,2
3779,ASSAM,24.0,27.0,0.0,0.0,6.9,7.6,207,210,0.7,1.1,1.90,2.00,2,2,2,2
3790,ASSAM,18.0,18.0,0.0,0.0,8.1,8.1,202,202,2.3,2.3,1.00,1.00,2,2,2,2
3793,ASSAM,26.0,26.0,0.0,0.0,6.7,6.8,150,452,1.4,2.4,0.70,0.80,2,2,2,2
3794,ASSAM,24.0,26.0,0.0,0.0,6.9,7.2,53,149,1.0,2.9,0.50,0.60,2,2,2,2
3795,ASSAM,24.0,26.0,0.0,0.0,7.2,7.4,46,53,1.2,2.9,0.60,0.70,2,2,2,2
3801,ASSAM,23.0,24.0,0.0,0.0,6.4,6.6,322,336,1.5,2.8,1.20,1.30,2,2,2,2
3802,ASSAM,23.0,24.0,0.0,0.0,6.7,6.8,310,316,2.0,2.6,1.00,1.40,2,2,2,2
3805,ASSAM,23.0,23.0,0.0,0.0,6.1,6.5,136,138,2.0,2.6,1.00,1.10,2,2,2,2
3813,ASSAM,22.0,30.0,0.0,0.0,7.1,7.2,241,441,1.3,3.5,1.00,1.00,2,300,2,2
3815,ASSAM,25.0,27.0,0.0,0.0,6.8,7.5,61,534,1.1,1.5,0.80,1.00,2,2,2,2
3816,ASSAM,24.0,26.0,0.0,0.0,6.9,7.5,60,527,1.8,1.9,0.80,1.00,2,2,2,2
3817,ASSAM,24.0,25.0,0.0,0.0,7.1,7.9,195,404,1.2,1.3,0.80,1.00,2,2,2,2
3818,ASSAM,25.0,26.0,0.0,0.0,7.2,7.3,55,289,1.0,1.6,1.20,1.40,2,2,2,2
4001,ASSAM,25.0,27.0,0.0,0.0,7.5,7.9,34,318,1.3,2.8,0.90,1.20,2,2,2,2
4002,ASSAM,25.0,26.0,0.0,0.0,6.8,7.3,35,193,1.6,2.7,0.70,1.10,2,2,2,2
4003,ASSAM,26.0,26.0,0.0,0.0,7.2,7.2,86,86,1.7,1.7,0.80,0.80,2,2,2,2
4007,ASSAM,24.0,24.0,0.0,0.0,7.2,7.2,269,269,0.9,0.9,3.70,3.70,2,2,2,2
4008,ASSAM,24.0,24.0,0.0,0.0,7.5,7.5,203,203,1.7,1.7,1.80,1.80,2,2,2,2
4303,ASSAM,24.0,27.0,0.0,0.0,7.7,7.8,34,317,1.2,2.5,0.80,1.50,2,2,2,2
4327,ASSAM,28.0,28.0,0.0,0.0,6.9,6.9,404,404,2.8,2.8,0.80,0.80,2,2,2,2
4328,ASSAM,27.0,27.0,0.0,0.0,6.5,6.5,207,207,1.5,1.5,0.80,0.80,2,2,2,2
4330,ASSAM,24.0,24.0,0.0,0.0,6.5,6.5,102,102,1.2,1.2,0.60,0.60,2,2,2,2
4333,ASSAM,28.0,28.0,0.0,0.0,7.4,7.4,240,240,1.2,1.2,0.50,0.50,2,2,2,2
