STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,,
2592,BIHAR,25,25,7.4,7.6,820,820,,,0,0,4,5,6,7,,
2594,BIHAR,25,26,7.4,7.4,500,500,,,0,0,7,7,14,14,,
2595,BIHAR,24,30,7.2,7.4,466,926,,,0,0,3,3,7,7,,
2596,BIHAR,25,35,7.7,8.2,721,835,,,0,0,4,4,6,7,,
2597,BIHAR,28,28,7.4,7.5,739,1610,,,0,0,,,,,,
2598,BIHAR,26,28,7.4,7.9,329,890,,,0,0,,,,,,
2599,BIHAR,26,28,7.4,7.6,694,830,,,0,0,7,7,9,9,,
2600,BIHAR,24,35,7.4,7.6,925,1134,,,0,0,,,,,,
3138,BIHAR,26,28,7.2,7.5,861,905,,,0,0,4,4,6,6,,
3139,BIHAR,26,28,7.2,7.4,370,1020,,,0,0,4,5,6,11,,
3140,BIHAR,22,30,7.2,7.7,376,1883,,,0,0,5,5,8,8,,
3141,BIHAR,26,28,7.6,7.6,400,516,,,0,0,4,5,6,14,,
3142,BIHAR,26,26,7.3,7.3,518,518,,,0,0,,,,,,
3143,BIHAR,36,36,7.3,7.3,698,698,,,0,0,4,4,8,8,,
3144,BIHAR,25,26,7.4,7.5,831,996,,,0,0,5,5,9,9,,
3145,BIHAR,25,27,6.9,7.8,620,971,,,0,0,7,7,9,9,,
3146,BIHAR,26,27,7.3,7.6,606,2090,,,0,0,,,,,,
3147,BIHAR,22,27,7.3,7.6,461,728,,,0,0,,,,,,
3148,BIHAR,25,25,7.4,7.5,686,1040,,,0,0,4,7,6,9,,
3149,BIHAR,25,27,7.1,7.7,556,1220,,,0,0,7,7,17,17,,
3150,BIHAR,25,30,7.3,7.7,343,555,,,0,0,5,5,8,8,,
3151,BIHAR,28,28,7.3,7.3,1130,1130,,,0,0,,,,,,
3152,BIHAR,26,28,7.4,8.1,688,876,,,0,0,7,7,14,14,,
3153,BIHAR,26,26,7.2,7.2,849,849,,,0,0,,,,,,
3154,BIHAR,25,29,6.9,7.6,555,1420,,,0,0,4,7,6,11,,
3155,BIHAR,25,37,7.5,7.5,970,970,,,0,0,,,,,,
3156,BIHAR,24,30,7.3,7.3,450,917,,,0,0,4,7,6,14,,
3157,BIHAR,25,28,7.4,7.5,328,843,,,0,0,4,4,5,5,,
3158,BIHAR,25,28,7.2,7.6,705,2070,,,0,0,7,7,11,11,,
3159,BIHAR,27,27,7.1,7.3,518,976,,,0,0,7,7,9,9,,
3160,BIHAR,25,33,7.3,7.5,779,882,,,0,0,4,7,6,9,,
3161,BIHAR,27,32,7.2,7.2,325,820,,,0,0,6,6,9,9,,
2039,CHANDIGARH,27,28,7.2,7.4,710,900,5,5,3,3.3,6,6,8,8,,
2040,CHANDIGARH,27,28,7,7.1,710,820,5,5,3,3.3,2,348,4,710,,
2043,CHANDIGARH,26,28,7,7.2,875,910,6,6,1.9,3.6,2,5,6,8,,
2044,CHANDIGARH,23,29,6.9,7.2,695,720,9,9,2.7,3.4,9,9,11,11,,
2045,CHANDIGARH,26,27,7.3,7.3,553,600,4,4,3.6,4,4,4,6,6,,
1620,CHHATTISGARH,24,28,7.7,7.9,530,688,0.3,0.4,0.3,2.4,,,2,4,,
1621,CHHATTISGARH,24,29,7.7,7.9,506,578,0.4,0.7,1,2.3,,,4,4,,
1622,CHHATTISGARH,29.5,34,7.5,7.5,352,360,,,0.6,0.7,,,8,8,,
1623,CHHATTISGARH,28,34,7.5,8,360,416,,,0.5,0.6,,,8,8,,
3171,CHHATTISGARH,27,27,7.5,7.5,,,0.5,1.2,0.2,0.4,,,9,9,,
3172,CHHATTISGARH,26.2,26.5,7.1,7.2,,,0.4,0.6,0,0.2,,,,,,
3173,CHHATTISGARH,26.2,26.6,7.2,7.2,,,0.4,0.6,0,0,,,,,,
3174,CHHATTISGARH,26.3,26.6,7.1,7.1,,,0.6,0.8,0,0,,,,,,
2453,DADRA & NAGAR HAVELI,29,29.2,7.2,7.4,442,678,,,0.8,1.6,70,240,278,920,,
2454,DADRA & NAGAR HAVELI,29,29.8,7,7.6,496,778,,,0.7,2,12,1600,280,1600,,
2455,DADRA & NAGAR HAVELI,28,29.8,6.7,7.5,1483,2196,12,12,0.3,1,0,540,28,920,,
2456,DADRA & NAGAR HAVELI,29,29.4,6.9,7.6,1365,1504,10,16,2.1,7.1,10,23,33,280,,
2457,DADRA & NAGAR HAVELI,28,29,7.4,7.5,1010,1080,,,1,1.6,20,46,136,540,,
2458,DADRA & NAGAR HAVELI,28,30.2,7.2,7.6,1880,2220,20,20,0.6,2.7,6,900,10,542,,
1440,DAMAN & DIU,26,29,7.4,8,830,1276,8,,9,0,,2.5,2,221,10,920
2448,DAMAN & DIU,28,29.2,6.4,7.6,610,660,4.9,,9.5,1.8,,6.9,542,1600,1600,1600
2449,DAMAN & DIU,29,29.2,6.8,8,1460,1666,4.9,,9.5,0.4,,2.6,8,350,13,1600
2450,DAMAN & DIU,29,29.8,6.8,7.2,692,920,4.9,,9.5,2.2,,2.9,70,1600,920,1600
2451,DAMAN & DIU,28,29,6.7,7.3,570,1138,,,,1.4,,3.3,26,1600,540,1600
2452,DAMAN & DIU,28,29,6.8,7.6,832,1250,,,,0.8,,6.8,2,1600,6,1600
2277,GOA,31.5,32,6.7,7.5,285,285,0.9,1.1,3.1,3.7,,,,,,
2278,GOA,27,29,6.7,6.9,64,64,1.1,1.7,1.1,1.1,,,13,13,,
2279,GOA,,,,,,,,,0,0,,,,,,
2280,GOA,29,31,6.1,6.6,34,34,0.6,0.6,0.1,0.4,,,,,,
2281,GOA,29.9,31,6.5,7,23,23,0.3,0.5,0.4,0.5,13,13,170,170,,
2282,GOA,28,32.8,6.9,7.1,81,266,1.2,2.7,0.1,1,7.8,23,33,79,,
3193,GOA,29,31,6.7,6.7,351,351,0.5,0.8,0,0,7.8,130,23,350,,
3194,GOA,28.5,29.7,5.3,7.5,109,109,0.2,0.5,1.9,3.2,,,,,,
3195,GOA,29,32,5.5,6.9,74,74,1.2,1.7,1,1.3,2,13,7.8,49,,
3,GUJARAT,28,30,7.47,7.7,1402,1402,1.5,2.4,2,3.86,,,,,,
6,GUJARAT,27,30,7.5,8.3,392,1886,0.61,2.21,0.3,0.97,,,2,2,,
1226,GUJARAT,32,33,7.8,7.9,503,1225,0.8,1.8,0.8,3.9,,,,,,
1948,GUJARAT,29,29,7.4,7.6,1290,1307,1.4,1.6,0.2,0.6,,,2,4,,
1949,GUJARAT,29,30,8,8,1020,1347,1.2,1.6,0,0.2,,,4,4,,
1950,GUJARAT,23,23,7.6,8.2,1530,1640,1,1.1,0.9,1.2,,,,,,
1951,GUJARAT,25,27,7.7,8.2,1070,1100,0.8,1.4,0.9,1.3,,,,,,
1952,GUJARAT,25,27,7.8,8.2,87.4,4540,1.5,1.5,1.2,1.2,,,,,,
1953,GUJARAT,28,28,7.3,7.4,1010,1010,0.4,0.4,0.4,0.4,,,,,,
1954,GUJARAT,26,28,7.1,8.1,4318,4866,2.8,5.6,1.1,5.3,2,3.7,4,4.5,,
1955,GUJARAT,25,30,7.7,8.4,1067,1564,1.7,2,4,4.1,,,,,,
1956,GUJARAT,29,29,7,7.1,2290,2477,1.5,3.2,2.9,5.8,,,,,,
1957,GUJARAT,25,28,7.3,8.6,1357,1463,1.2,1.7,3.3,4.7,,,,,,
1958,GUJARAT,27,28,7.8,8.2,799,1010,0.7,1.7,3.8,5.3,,,,,,
1959,GUJARAT,30,30,7.9,8.1,1746,2980,0.2,0.8,1.6,2.4,,,2,2,,
1960,GUJARAT,29,32,7.8,8,604,1437,0.1,0.1,0.8,2,,,2,2,,
1961,GUJARAT,29,32,7.1,7.1,1382,1415,0.2,3.6,1.2,3.3,,,2,2,,
1962,GUJARAT,26,30,7.3,7.6,3650,6450,3,4.9,0.4,0.9,,,2,2,,
1965,GUJARAT,26,30,8.5,8.5,1895,2456,0.9,1,0,0,8,109,21,109,,
1966,GUJARAT,27,30,7.7,8.3,960,1190,1,1.4,0,0,8,348,13,348,,
1967,GUJARAT,25,27,7.6,8.6,480,512,1.8,2.1,0,0.1,,,,,,
1968,GUJARAT,27,27,7.5,7.5,916,916,1.6,1.6,0,0,,,,,,
1969,GUJARAT,28,28,8.1,8.5,824,990,0.6,1.4,0.2,0.4,,,,,,
1970,GUJARAT,25,26,7.5,8.2,974,1302,1.8,2,0,0.1,,,,,,
2083,GUJARAT,27,31,7,8.3,1950,2686,1.4,2.9,1.6,6.8,,,,,,
2084,GUJARAT,29,31,7.5,7.5,1850,2095,1.6,1.6,4.9,5.6,,,,,,
2084,GUJARAT,27,27,8,8,1265,1265,1,1,0,0,,,,,,
2085,GUJARAT,29,30,7.4,7.7,1519,1550,1.4,1.4,2.2,4.9,,,,,,
2086,GUJARAT,30,30,7.5,7.5,35940,35940,1.2,1.2,0,0,4,4,4,4,,
2087,GUJARAT,27,30,7.7,8.3,2445,3289,0.9,0.9,0,0,7,7,7,7,,
2088,GUJARAT,27,30,7.7,7.9,4.4,10015,1,1,0,0,0,8,11,16,,
2089,GUJARAT,28,29,7.5,8.4,2835,3240,1,1.2,0,0,,,4,4,,
2090,GUJARAT,28,29,6.8,8.4,2835,6208,0.9,1.2,0,0,17,17,130,130,,
2091,GUJARAT,25,27,7.5,7.8,2190,2888,0.9,0.9,0,0,5,5,5,5,,
2093,GUJARAT,26,28,7.4,8,1358,1920,0.9,1,0,0,,,2,2,,
2094,GUJARAT,28,28,7.8,7.8,4830,4830,0.8,0.8,0.1,0.1,,,,,,
2095,GUJARAT,25,28,7.4,7.7,2050,3080,0.9,1.2,1,1.2,,,,,,
2096,GUJARAT,29,29,7.3,7.3,4144,4699,1.3,1.7,2,2.2,,,,,,
2097,GUJARAT,29,29,7.8,7.8,3583,3635,1.2,1.4,0.8,1.2,,,,,,
2098,GUJARAT,28,30,7.5,8.2,2987,3076,1.2,2.1,2.6,4,,,,,,
3207,GUJARAT,30,30,7.8,7.8,1230,1230,0.8,0.8,0.5,0.5,,,,,,
3208,GUJARAT,25,25,6.5,6.5,9020,9020,2.4,2.4,0.1,0.1,,,,,,
3209,GUJARAT,28,28,8.1,8.3,864,1770,0.8,2.4,0.1,0.2,,,,,,
3210,GUJARAT,26,30,7.3,8.3,3883,3883,1,1.1,0,0,2,2,5,5,,
3211,GUJARAT,27,28,7.9,8.3,1582,1656,0.9,1,0,0.1,33,33,4,33,,
3212,GUJARAT,32,33,7.4,7.5,1999,2216,1,1.5,3.2,6,,,,,,
3213,GUJARAT,32,33,7.5,7.6,1605,1850,1.5,1.7,3.7,5.2,,,,,,
